,word,file_path,saved
180,అంగడివీధులు,,False
181,అంగడివెట్టు,,False
182,అంగడివేయు,,False
183,అంగడ్లు,,False
184,అంగణము,,False
185,అంగతి,,False
186,అంగత్రయము,,False
187,అంగద,,False
188,అంగదగొను,,False
189,అంగదట్టము,,False
190,అంగదనిర్యూహము,,False
191,అంగదపడు,,False
192,అంగదము,,False
193,అంగదేశం,,False
194,అంగదేశము,,False
195,అంగన,,False
196,అంగనబండి,,False
197,అంగనలు,,False
198,అంగనా,,False
199,అంగనా ప్రియము,,False
200,అంగనాజనము,,False
201,అంగనాల బిందె,,False
202,అంగన్,,False
203,అంగన్యాస కరన్యాసాలు,,False
204,అంగన్యాసము,,False
205,అంగపంచకము,,False
206,అంగపొక్క,,False
207,అంగప్రదక్షిణము,,False
208,అంగబలం,,False
209,అంగబిల్ల,,False
210,అంగబిల్ల (ళ్లి),,False
211,అంగబిళ్ల,,False
212,అంగభవుడు,,False
213,అంగభువు,,False
214,అంగభోగము,,False
215,అంగమచ్చ,,False
216,అంగమచ్చము,,False
217,అంగమచ్చేము,,False
218,అంగమణి,,False
219,అంగమర్దనము,,False
220,అంగమర్దుడు,,False
221,అంగమర్ధనము,,False
222,అంగమర్ధుడు,,False
223,అంగము,,False
224,అంగములు,,False
225,అంగమొల,,False
226,అంగమొల వేలుపు,,False
227,అంగమొలవేల్పు,,False
228,అంగమోములవేల్పు,,False
229,అంగర,,False
230,అంగరంగ వైభవం,,False
231,అంగరంగ వైభవము,,False
232,అంగరంగభోగములు,,False
233,అంగరంగవైభవము,,False
234,అంగరంగవైభోగము,,False
235,అంగరకా,,False
236,అంగరక్ష,,False
237,అంగరక్షణ,,False
238,అంగరక్షణి,,False
239,అంగరాగము,,False
240,అంగరాజు,,False
241,అంగరిల్లు,,False
242,అంగరుహము,,False
243,అంగరేక,,False
244,అంగరేకు,,False
245,అంగరొల్లిలు,,False
246,అంగరొల్లె,,False
247,అంగరొల్లెలు,,False
248,అంగలపంగలు,,False
249,అంగలారుచు,,False
250,అంగలార్చు,,False
251,అంగలాఱ్చు,,False
252,అంగలి,,False
253,అంగలించు,,False
254,అంగలు వేయు,,False
255,అంగలుగొను,,False
256,అంగలువేయు,,False
257,అంగలూరు,,False
258,అంగలేపము,,False
259,అంగలోపము,,False
260,అంగళము,,False
261,అంగవంచనము,,False
262,అంగవడి,,False
263,అంగవము,,False
264,అంగవస్త్రము,,False
265,అంగవించు,,False
266,అంగవికలుఁడు,,False
267,అంగవికలుడు,,False
268,అంగవికారము,,False
269,అంగవేయు,,False
270,అంగవైకల్యము,,False
271,అంగవైకల్యములు,,False
272,అంగవైకల్యాన్ని,,False
273,అంగశుద్ధి,,False
274,అంగసంస్కారము,,False
275,అంగసంస్కృతి,,False
276,అంగసుందరము,,False
277,అంగసౌష్ఠవము,,False
278,అంగసౌష్తవము,,False
279,అంగస్పర్శ,,False
280,అంగహాని,,False
281,అంగహారము,,False
282,అంగహారి,,False
283,అంగహీనము,,False
284,అంగహీనుఁడు,,False
285,అంగహీనుడు,,False
286,అంగాం,,False
287,అంగాడు,,False
288,అంగామీ,,False
289,అంగార,,False
290,అంగారకచతుర్ధీవ్రతము,,False
291,అంగారకమణి,,False
292,అంగారకము,,False
293,అంగారణి,,False
294,అంగారదొల్లెలు,,False
295,అంగారధాని,,False
296,అంగారధాని.,,False
297,అంగారధానిక,,False
298,అంగారధామి,,False
299,అంగారన్యాయము,,False
300,అంగారపరిపాచితము,,False
301,అంగారపాత్ర,,False
302,అంగారపాత్రి,,False
303,అంగారము,,False
304,అంగారవల్లి,,False
305,అంగారి,,False
306,"అంగారి, అంగారిక, అంగారిణి",,False
307,అంగారిక,,False
308,అంగారిణి,,False
309,అంగారిత,,False
310,అంగార్థనిపీడితము,,False
311,అంగి,,False
312,అంగి అంగీ,,False
313,అంగి రైకె పెట్టుడు,,False
314,అంగిక,,False
315,అంగికము,,False
316,అంగికరణికుడు,,False
317,అంగిటముల్లు,,False
318,అంగిటిముల్లు,,False
319,అంగితమగు,,False
320,అంగిరుడు,,False
321,అంగిలి,,False
322,అంగీకమగు,,False
323,అంగీకరించని,,False
324,అంగీకరించబడని,,False
325,అంగీకరించలేదు,,False
326,అంగీకరించిన,,False
327,అంగీకరించుట,,False
328,అంగీకృతము,,False
329,అంగీరసుడు,,False
330,అంగు,,False
331,అంగుగా,,False
332,అంగుటము,,False
333,అంగుట్లో నాలికలేదు,,False
334,అంగుడు పొద్దు,,False
335,అంగుడుదుడిపి,,False
336,అంగుడుదుడిసి,,False
337,అంగుడుదుడీపి,,False
338,అంగుడుముల్లు,,False
339,అంగుణము,,False
340,అంగుదారు,,False
341,అంగుదురుతుడు,,False
342,అంగురి,,False
343,అంగులము,,False
344,అంగులిగ్రంథి,,False
345,అంగులిత్రము,,False
346,అంగులిదీపికయా ధ్వాంతధ్వంసనవిధిః,,False
347,అంగులిముద్ర,,False
348,అంగులిమోటనము,,False
349,అంగులిషంగ,,False
350,అంగులిస్ఫోటనము,,False
351,అంగుల్యగ్రం న తేనై వాంగుల్యగ్రేణ స్పృశ్యతే,,False
352,అంగుల్యగ్రం న తేనై వాంగుల్యగ్రేణ స్పృశ్యతే :,,False
353,అంగుల్యగ్రం న తేనైవాంగుల్యగ్రేన స్పృశ్యతే.,,False
354,అంగుల్యగ్రే మత్తమాతంగా శ్చరన్తి,,False
355,అంగుళములు,,False
356,అంగుళాలు,,False
357,అంగుళి,,False
358,అంగుళి స్ఫోటనముచేయు,,False
359,అంగుళిత్రము,,False
360,"అంగుళిత్రము, అంగుళిత్రాణము",,False
361,అంగుళిత్రాణము,,False
362,అంగుళిదీపికాధ్వాంతధ్వంసన్యాయం,,False
363,అంగుళిమానము,,False
364,అంగుళిముద్ర,,False
365,అంగుళీమానము,,False
366,అంగుళీయకము,,False
367,అంగుళీయకాకారము,,False
368,అంగుళీయము,,False
369,అంగుళీశలాకలు,,False
370,అంగుళులు,,False
371,అంగువు,,False
372,అంగుష్టము,,False
373,అంగుష్ఠమాత్రుడు,,False
374,అంగుష్ఠము,,False
375,అంగుస్తాను,,False
376,అంగూషము,,False
377,అంగోలా,,False
378,అంగ్రివము,,False
379,అంగ్విలా,,False
380,అంగ్విల్లా,,False
381,అంఘ్రి,,False
382,అంఘ్రిపము,,False
383,"అంఘ్రిపర్ణిక, అంఘ్రిపల్లిక,",,False
384,అంఘ్రిపానుడు,,False
385,అంఘ్రిసము,,False
386,అంఘ్రీ,,False
387,అంఘ్రీవము,,False
388,అంచ,,False
389,అంచకుడు,,False
390,అంచగుఱ్ఱపుజోదు,,False
391,అంచతి,,False
392,అంచత్,,False
393,అంచన,,False
394,అంచనకట్టు,,False
395,అంచనదారు,,False
396,అంచనదారుడు,,False
397,అంచనదారుడు :,,False
398,అంచనవేయు,,False
399,అంచనా,,False
400,అంచనావేయు,,False
401,అంచబాబా,,False
402,అంచయాన,,False
403,అంచయేనుగుమావంతు,,False
404,అంచలము,,False
405,అంచి పుచ్చు,,False
406,అంచించు,,False
407,అంచితము,,False
408,అంచితముగా,,False
409,అంచితుడు,,False
410,అంచిపుచ్చు,,False
411,అంచియ,,False
412,"అంచియ, అంచె",,False
413,అంచు గట్టుకొని వచ్చు,,False
414,అంచుకట్టు,,False
415,అంచుపొంచులేకుండు,,False
416,అంచుపోగు,,False
417,అంచుముట్టని,,False
418,అంచుముట్టు,,False
419,అంచులవాడు,,False
420,అంచులు,,False
421,అంచులుమోయు,,False
422,అంచె,,False
423,అంచెబుట్ట,,False
424,అంచెబుట్టి,,False
425,అంచెబోయలు,,False
426,అంచెలంచెలు,,False
427,అంచెలమీద,,False
428,అంచెలు,,False
429,అంచెలుగట్టు,,False
430,అంజకము,,False
431,అంజగొను,,False
432,అంజన రాయి,,False
433,అంజనకప్పు,,False
434,అంజనకాడు,,False
435,అంజనగిరి,,False
436,అంజననామిక,,False
437,అంజనముచూడు,,False
438,అంజనమునమాటలాడనేల,,False
439,అంజనముపెట్టు,,False
440,అంజనమువేయు,,False
441,అంజనావతి,,False
442,అంజని,,False
443,అంజనిక,,False
444,అంజనేయపురం,,False
445,అంజన్,,False
446,అంజమ్మ,,False
447,అంజలి,,False
448,అంజలించు,,False
449,అంజలిగుంజలి,,False
450,అంజలిచేయు,,False
451,అంజలియెత్తు,,False
452,అంజలియొనర్చు,,False
453,అంజలీదేవి,,False
454,అంజాయించు,,False
455,అంజాల,,False
456,అంజి,,False
457,అంజిక,,False
458,అంజిష్టుడు,,False
459,అంజిష్టువు,,False
460,అంజిష్ఠుఁడు,,False
461,అంజిష్ఠుడు,,False
462,అంజు,,False
463,అంజూరి,,False
464,అంజూరు,,False
465,అంజెలు వేయు,,False
466,అంట,,False
467,అంటకట్టు,,False
468,"అంటకట్టు, అంటకట్టుకొను,",,False
469,అంటకత్తెర వేయు,,False
470,అంటగట్టు,,False
471,అంటగు,,False
472,అంటగొట్టు,,False
473,అంటగ్రాగు,,False
474,అంటజఱచు,,False
475,అంటదఱుము,,False
476,అంటదాకు,,False
477,అంటనిజేజే,,False
478,అంటనివేల్పు,,False
479,అంటపొడుచు,,False
480,అంటబట్టు,,False
481,అంటరాని వేలుపు,,False
482,అంటరానితనం,,False
483,అంటరానివేల్పు,,False
484,అంటలు,,False
485,అంటలు గట్టు,,False
486,అంటలుగట్టు,,False
487,అంటసిలబడు,,False
488,అంటసిలు,,False
489,అంటసిల్లు,,False
490,అంటాము,,False
491,అంటారు,,False
492,అంటారె,,False
493,అంటార్కిటికా,,False
494,అంటి,,False
495,అంటి ముట్టక,,False
496,అంటించాడు,,False
497,అంటించాను,,False
498,అంటించాము,,False
499,అంటించారు,,False
500,అంటించావు,,False
501,అంటించింది,,False
502,అంటించిన,,False
503,అంటించుట,,False
504,అంటింపించు,,False
505,అంటికొను,,False
506,అంటిపెట్టుకొని తిరుగు,,False
507,అంటిపెట్టుకొనియుండు,,False
508,అంటిముట్టనట్లుండు,,False
509,అంటిమోనీ,,False
510,అంటిస,,False
511,అంటు,,False
512,అంటుకట్టుట,,False
513,అంటుకత్తియ,,False
514,"అంటుకత్తియ, అంటుకత్తె,",,False
515,అంటుకత్తె,,False
516,అంటుకాడు,,False
517,అంటుకు సొంటుకు రావద్దు,,False
518,అంటుకు సొంటుకు లేదు,,False
519,అంటుకైకొను,,False
520,అంటుకొనిపోవు,,False
521,అంటుకొను,,False
522,అంటుగట్టు,,False
523,అంటుజోడు,,False
524,అంటుట,,False
525,అంటుతొట్టి,,False
526,అంటుద్రొక్కు,,False
527,అంటున్నా,,False
528,అంటున్నాడు,,False
529,అంటుపట్టు,,False
530,అంటుపడు,,False
531,అంటుపనకము,,False
532,అంటుపూస,,False
533,అంటుపోగులు,,False
534,అంటుప్పు,,False
535,అంటుబట్ట,,False
536,అంటుమెడ,,False
537,అంటురాయి,,False
538,అంటురోగము,,False
539,అంటురోగసూతకము,,False
540,అంటులు వాయు,,False
541,అంటులువాయు,,False
542,అంటువడు,,False
543,అంటువేయు,,False
544,అంటువ్యాధులు,,False
545,అంటువ్వాధి,,False
546,అంటుసంటు,,False
547,అంటుసేయు,,False
548,అంటుసొంటు,,False
549,అంటూసొంటూ,,False
550,అంటే,,False
551,అంట్యాకుల,,False
552,అంట్రింత,,False
553,అంట్రిత,,False
554,అంట్లు,,False
555,అంట్లుకడుగు,,False
556,అంట్లుతీయు,,False
557,అంట్లుతుడుచు,,False
558,అంట్లొత్తు,,False
559,అండ,,False
560,అండఁజేయు,,False
561,అండకటాహము,,False
562,అండకణం,,False
563,అండకము,,False
564,అండకుక్కుటీన్యాయం,,False
565,అండకుక్కుటీన్యాయము,,False
566,అండకోశ పరిచక్రము,,False
567,అండకోశ-అధస్థ్సితము,,False
568,అండకోశ-ఉపరిస్థితము,,False
569,అండకోశము,,False
570,అండకోశములు,,False
571,అండగొండల,,False
572,అండగొట్టు,,False
573,అండగొను,,False
574,అండగొలుపు,,False
575,అండగోడ,,False
576,అండచూచుకొను,,False
577,అండజ,,False
578,అండజంబనస్థానము,,False
579,అండజము,,False
580,అండజశయ్య,,False
581,అండజుడు,,False
582,అండజేయు,,False
583,అండజేరు,,False
584,అండదండ,,False
585,అండనము,,False
586,అండనాళము,,False
587,అండపిండ బ్రహ్మాండాలు,,False
588,అండపీతకళ,,False
589,అండపీతము,,False
590,అండప్రసువు,,False
591,అండమాతృకణము,,False
592,అండమాన్ నికోబార్ దీవులు,,False
593,అండములు,,False
594,అండరులు,,False
595,అండలంబనస్థానము,,False
596,అండలూరి,,False
597,అండవాయువు,,False
598,అండవాహికలు,,False
599,అండవిస్రంభన్యాయం,,False
600,అండవిస్రంభన్యాయము,,False
601,అండశేతము,,False
602,అండా,,False
603,అండాకర్షణము,,False
604,అండాకార గవాక్షము,,False
605,అండాకారపత్రము,,False
606,అండాశయము,,False
607,అండాశయయుజము,,False
608,అండి,,False
609,అండియము.,,False
610,అండీ,,False
611,అండుచేయు,,False
612,అండుపడు,,False
613,అండెం,,False
614,అండెముగట్టు,,False
615,అండొర్రా,,False
616,అండోత్పత్తి,,False
617,అండౌఘము,,False
618,అండ్రు,,False
619,అండ్లబోంగ,,False
620,అంత,,False
621,అంత గొడితే,,False
622,అంత స్తాపో బహి శ్శీతమ్,,False
623,అంత:కంకాళము,,False
624,అంత:కవచము,,False
625,అంత:కుహరము,,False
626,అంత:ఖండము,,False
627,అంత:పరాన్నజీవి,,False
628,అంత:పార్శ్వము,,False
629,అంత:ప్రసరము,,False
630,అంతంత,,False
631,అంతంత మాత్రం,,False
632,అంతంలేని,,False
633,అంతఃకరణ,,False
634,అంతఃకరణ చతుష్టయము,,False
635,అంతఃకరణచతుష్టయము,,False
636,అంతఃకరణము,,False
637,అంతఃకలహం,,False
638,అంతఃకలహము,,False
639,అంతఃకుటిలుడు,,False
640,అంతఃపదవి,,False
641,అంతఃపశువు,,False
642,అంతఃపాపి,,False
643,అంతఃపురము,,False
644,అంతఃపుష్పము,,False
645,అంతఃప్రకృతి,,False
646,అంతఃప్రజ్ఞుడు,,False
647,అంతఃప్రవాహ,,False
648,అంతఃప్రవాహము,,False
649,అంతఃప్రవేశము,,False
650,అంతఃప్రేరణ,,False
651,అంతఃశత్రునవకము,,False
652,అంతకం,,False
653,అంతకంతకూ,,False
654,అంతకము,,False
655,అంతకహరుడు,,False
656,అంతకాంతకుడు,,False
657,అంతకారి,,False
658,అంతకుడు,,False
659,అంతకుమించి,,False
660,అంతకుముందు,,False
661,అంతకురాలు,,False
662,అంతగమనము,,False
663,"అంతగమనము,",,False
664,అంతగా,,False
665,అంతట,,False
666,అంతటా,,False
667,అంతటి,,False
668,అంతటికి,,False
669,అంతటికీ,,False
670,అంతతోశ్మాఽపి జీర్యతే,,False
671,అంతన పొంతన,,False
672,అంతపట్టు,,False
673,అంతపొంతములవాడు,,False
674,అంతమంచిగాను,,False
675,అంతమగు,,False
676,అంతముచూడు,,False
677,అంతమునొందించు,,False
678,అంతమొందటం,,False
679,అంతయు,,False
680,అంతర పరావర్తనము,,False
681,అంతర మథనం,,False
682,అంతర వృత్తము,,False
683,అంతర శబ్దానువిద్ధ సవికల్ప సమాధి,,False
684,అంతరంగ సాధనాలు,,False
685,అంతరంగం,,False
686,అంతరంగబహిరంగయో రంతరంగం బలీయః,,False
687,అంతరంగము,,False
688,అంతరంగవీక్షణము,,False
689,అంతరంగాష్టమదము,,False
690,అంతరంగుడు,,False
691,అంతరకృషి,,False
692,అంతరకొట్టు,,False
693,అంతరగ్ని,,False
694,అంతరజాతిత్రయము,,False
695,అంతరతలము,,False
696,అంతరదామర,,False
697,అంతరనిక్షేపము,,False
698,అంతరపూజ,,False
699,అంతరములు,,False
700,అంతరలంకరణ,,False
701,అంతరవకాశము,,False
702,అంతరవృత్తము,,False
703,అంతరాంతము,,False
704,అంతరాత్మ,,False
705,అంతరాపత్య,,False
706,అంతరాయం,,False
707,అంతరాయము,,False
708,అంతరార్ధము,,False
709,అంతరాలు,,False
710,అంతరాళం,,False
711,అంతరాళము,,False
712,అంతరాళము కట్టుబడి,,False
713,అంతరించిపోతున్న,,False
714,అంతరించు,,False
715,అంతరిక్ష,,False
716,అంతరిక్ష నౌక,,False
717,అంతరిక్ష యాత్రికుడు,,False
718,అంతరిక్షచరము,,False
719,అంతరిక్షజలము,,False
720,అంతరిక్షనౌక,,False
721,అంతరితము,,False
722,అంతరిశము,,False
723,అంతరిస్తున్న,,False
724,అంతరీక్షము,,False
725,అంతరీపము,,False
726,అంతరీయము,,False
727,అంతరువు,,False
728,అంతరేణాపి నిమిత్తశబ్దం నిమిత్తార్థో గమ్యతే,,False
729,అంతర్గడువు,,False
730,అంతర్గతము,,False
731,అంతర్గుహినములు,,False
732,అంతర్గ్రహణము,,False
733,అంతర్ఘణము,,False
734,అంతర్ఘనము,,False
735,అంతర్జల,,False
736,అంతర్జాఠరము,,False
737,అంతర్జాతము,,False
738,అంతర్జాతీయ,,False
739,అంతర్జాతీయ కార్మిక సంస్థ,,False
740,అంతర్జాతీయ జీవ వైవిధ్య సదస్సు,,False
741,అంతర్జాతీయ దిన రేఖ,,False
742,అంతర్జాతీయ ద్రవ్వనిధి,,False
743,అంతర్జాతీయ న్యాయ సభ.,,False
744,అంతర్జాతీయ న్యాయశాస్త్రం,,False
745,అంతర్జాతీయ న్యాయస్థానం,,False
746,అంతర్జాతీయ బ్యాంక్,,False
747,అంతర్జాతీయ వాణిజ్య మండలి,,False
748,అంతర్జాతీయ విమానము,,False
749,అంతర్జాతీయము,,False
750,అంతర్జాలం,,False
751,అంతర్జ్ఞానము,,False
752,అంతర్జ్యోతి,,False
753,అంతర్జ్వలనము,,False
754,అంతర్థ,,False
755,అంతర్థానం,,False
756,అంతర్థానము,,False
757,అంతర్దధానము,,False
758,అంతర్దర్శనము,,False
759,అంతర్దర్శిని,,False
760,అంతర్దశ,,False
761,అంతర్దహనము,,False
762,అంతర్దీపికాన్యాయము,,False
763,అంతర్దృష్టి,,False
764,అంతర్దేశీయ,,False
765,అంతర్ద్వారము,,False
766,అంతర్ధ,,False
767,అంతర్ధానం,,False
768,అంతర్ధానము,,False
769,అంతర్ధానముపొందు,,False
770,అంతర్ధానముసేయు,,False
771,అంతర్ధానమైనపోవుట,,False
772,అంతర్బాష్పము,,False
773,అంతర్బూతము,,False
774,అంతర్భవించు,,False
775,అంతర్భాగము,,False
776,అంతర్భావన,,False
777,అంతర్భావితము,,False
778,అంతర్భూమిక,,False
779,అంతర్భౌమజలము,,False
780,అంతర్మదము,,False
781,అంతర్మనస్కుడు,,False
782,అంతర్ముఖము,,False
783,అంతర్ముఖుడు,,False
784,అంతర్యత్ని,,False
785,అంతర్యాగము,,False
786,అంతర్యామి,,False
787,అంతర్యుద్ధము,,False
788,అంతర్లనికము,,False
789,అంతర్లాప,,False
790,అంతర్లాపి,,False
791,అంతర్లిఖితము,,False
792,అంతర్లీనం,,False
793,అంతర్వంశికుడు,,False
794,అంతర్వత్ని,,False
795,అంతర్వమి,,False
796,అంతర్వాణి,,False
797,అంతర్వాహిని,,False
798,అంతర్విగాహనము,,False
799,అంతర్విషము,,False
800,అంతర్వృద్ధి,,False
801,అంతర్వేది,,False
802,అంతర్హస్తీనము,,False
803,అంతర్హితము,,False
804,అంతర్హితుడు,,False
805,అంతర్హృదయము,,False
806,అంతర్హేతువు,,False
807,అంతర్‌స్పర్శవృత్తము,,False
808,అంతలపొంతల,,False
809,అంతలపొంతలవాడు,,False
810,అంతలు,,False
811,అంతలో,,False
812,అంతవంతము,,False
813,అంతవట్టు,,False
814,అంతవరకు,,False
815,అంతవశాయి,,False
816,అంతశయ్య,,False
817,అంతశ్చర్మము,,False
818,అంతశ్ఛిద్రము,,False
819,అంతశ్వననము,,False
820,అంతశ్శత్రువు,,False
821,అంతశ్శూన్యము,,False
822,అంతస్తాపము,,False
823,అంతస్తు,,False
824,అంతస్త్వచిక జనకము,,False
825,అంతస్థము,,False
826,అంతస్థములు,,False
827,అంతస్థాపము,,False
828,అంతస్థు,,False
829,అంతస్సత్త్వ,,False
830,అంతస్సమ్మేళనము,,False
831,అంతస్సలిలము,,False
832,అంతస్స్వేదము,,False
833,అంతా,,False
834,అంతాది,,False
835,అంతావశాయి,,False
836,అంతావసాయి,,False
837,అంతి,,False
838,అంతిక,,False
839,అంతికతమము,,False
840,అంతికము,,False
841,అంతికలు,,False
842,అంతికాయం,,False
843,అంతిపురము,,False
844,అంతిపురి,,False
845,అంతిమ,,False
846,అంతిమ సందేశం,,False
847,అంతిమతీర్పు,,False
848,అంతిమయాత్ర,,False
849,అంతిస్తికాయం,,False
850,అంతు,,False
851,అంతుకనుగొను,,False
852,అంతుకము,,False
853,అంతుచిక్కు,,False
854,అంతుతేల్చుకొను,,False
855,అంతుదేల్చు,,False
856,అంతుదొరకు,,False
857,అంతుపంతు,,False
858,అంతుపట్టని,,False
859,అంతుపట్టు,,False
860,అంతుపొంతు,,False
861,అంతులేని,,False
862,అంతులేనిది,,False
863,అంతె,,False
864,అంతేవాసి,,False
865,అంత్య,,False
866,అంత్యకణము,,False
867,అంత్యకర్మం,,False
868,అంత్యకాలము,,False
869,అంత్యకులుడు,,False
870,అంత్యక్రియలు,,False
871,అంత్యగమనము,,False
872,అంత్యజుడు,,False
873,అంత్యప్రాస,,False
874,అంత్యమండనము,,False
875,అంత్యము,,False
876,అంత్యానుప్రాస,,False
877,అంత్యానుప్రాస పదాలు,,False
878,అంత్యావసాయి,,False
879,అంత్యాశ్రమము,,False
880,అంత్యాశ్రమి,,False
881,అంత్యేష్టి,,False
882,అంత్రకూజనము,,False
883,అంత్రధమి,,False
884,అంత్రము,,False
885,అంత్రములు,,False
886,అంత్రవృద్ధి,,False
887,అంత్రీయ ఉణ్డుకము,,False
888,అందంక,,False
889,అందంద,,False
890,అందందుగూడుకొను,,False
891,అందంబుగూడుకొను,,False
892,అందక,,False
893,అందకత్తియ,,False
894,అందకత్తె,,False
895,అందకత్తెలు,,False
896,అందగత్తె,,False
897,అందగాడు,,False
898,అందగారిమాటలు,,False
899,అందగాళ్ళు,,False
900,అందగించు,,False
901,అందగింపు,,False
902,అందచందం,,False
903,అందచందములు,,False
904,అందచేసారు,,False
905,అందజేయు,,False
906,అందదుకు,,False
907,అందని,,False
908,అందనిమ్రానిపండు,,False
909,అందను,,False
910,అందనుక,,False
911,అందపడు,,False
912,అందబడు,,False
913,అందము,,False
914,అందముగా,,False
915,అందముసేయు,,False
916,అందమైనవాడు,,False
917,అందరం,,False
918,అందరము,,False
919,అందరి,,False
920,అందరికి ఆయుర్వేదం,,False
921,అందరినీ,,False
